x,u,time_step,t
-10.0,0.0,0,0.0
-9.933333333333334,0.0,0,0.0
-9.866666666666667,0.0,0,0.0
-9.8,0.0,0,0.0
-9.733333333333333,0.0,0,0.0
-9.666666666666666,0.0,0,0.0
-9.6,0.0,0,0.0
-9.533333333333333,0.0,0,0.0
-9.466666666666667,0.0,0,0.0
-9.4,0.0,0,0.0
-9.333333333333334,0.0,0,0.0
-9.266666666666667,0.0,0,0.0
-9.2,0.0,0,0.0
-9.133333333333333,0.0,0,0.0
-9.066666666666666,0.0,0,0.0
-9.0,0.0,0,0.0
-8.933333333333334,0.0,0,0.0
-8.866666666666667,0.0,0,0.0
-8.8,0.0,0,0.0
-8.733333333333334,0.0,0,0.0
-8.666666666666666,0.0,0,0.0
-8.6,0.0,0,0.0
-8.533333333333333,0.0,0,0.0
-8.466666666666667,0.0,0,0.0
-8.4,0.0,0,0.0
-8.333333333333334,0.0,0,0.0
-8.266666666666666,0.0,0,0.0
-8.2,0.0,0,0.0
-8.133333333333333,0.0,0,0.0
-8.066666666666666,0.0,0,0.0
-8.0,0.0,0,0.0
-7.933333333333334,0.0,0,0.0
-7.866666666666667,0.0,0,0.0
-7.8,0.0,0,0.0
-7.733333333333333,0.0,0,0.0
-7.666666666666666,0.0,0,0.0
-7.6,0.0,0,0.0
-7.533333333333333,0.0,0,0.0
-7.466666666666667,0.0,0,0.0
-7.4,0.0,0,0.0
-7.333333333333334,0.0,0,0.0
-7.266666666666667,0.0,0,0.0
-7.2,0.0,0,0.0
-7.133333333333333,0.0,0,0.0
-7.066666666666666,0.0,0,0.0
-7.0,0.0,0,0.0
-6.933333333333334,0.0,0,0.0
-6.866666666666667,0.0,0,0.0
-6.8,0.0,0,0.0
-6.733333333333333,0.0,0,0.0
-6.666666666666666,0.0,0,0.0
-6.6,0.0,0,0.0
-6.533333333333333,0.0,0,0.0
-6.466666666666667,0.0,0,0.0
-6.4,0.0,0,0.0
-6.333333333333334,0.0,0,0.0
-6.266666666666667,0.0,0,0.0
-6.2,0.0,0,0.0
-6.133333333333333,0.0,0,0.0
-6.066666666666666,0.0,0,0.0
-6.0,0.0,0,0.0
-5.933333333333334,0.0,0,0.0
-5.866666666666667,0.0,0,0.0
-5.8,0.0,0,0.0
-5.733333333333333,0.0,0,0.0
