x,u,time_step,t
-5.0,1.9151695967140057e-174,0,0.0
-4.966666666666667,3.8969396911759364e-172,0,0.0
-4.933333333333334,7.652415614096734e-170,0,0.0
-4.9,1.4502131273426031e-167,0,0.0
-4.866666666666667,2.65230542345148e-165,0,0.0
-4.833333333333334,4.681377387759218e-163,0,0.0
-4.800000000000001,7.974109428607447e-161,0,0.0
-4.7666666666666675,1.3108383774285983e-158,0,0.0
-4.733333333333334,2.0795746881621304e-156,0,0.0
-4.700000000000001,3.1838919149073134e-154,0,0.0
-4.666666666666668,4.704359775931637e-152,0,0.0
-4.633333333333335,6.708125177151875e-150,0,0.0
-4.600000000000001,9.231243499549699e-148,0,0.0
-4.566666666666668,1.2259638770690149e-145,0,0.0
-4.533333333333335,1.5712799160177651e-143,0,0.0
-4.500000000000002,1.9435148500487404e-141,0,0.0
-4.466666666666669,2.3199604738380115e-139,0,0.0
-4.433333333333335,2.672586230020012e-137,0,0.0
-4.400000000000002,2.971264305128334e-135,0,0.0
-4.366666666666669,3.187933571811099e-133,0,0.0
-4.333333333333336,3.300925018320146e-131,0,0.0
-4.3000000000000025,3.2985302689916586e-129,0,0.0
-4.266666666666669,3.1810002747281677e-127,0,0.0
-4.233333333333336,2.960501993861504e-125,0,0.0
-4.200000000000003,2.6590434112051945e-123,0,0.0
-4.16666666666667,2.3048566289706055e-121,0,0.0
-4.133333333333336,1.928061232308118e-119,0,0.0
-4.100000000000003,1.5565251678798429e-117,0,0.0
-4.06666666666667,1.212690263500914e-115,0,0.0
-4.033333333333337,9.118051745572512e-114,0,0.0
-4.0000000000000036,6.616261056706476e-112,0,0.0
-3.9666666666666703,4.633206227754193e-110,0,0.0
-3.933333333333337,3.1311873121497216e-108,0,0.0
-3.900000000000004,2.042184069327692e-106,0,0.0
-3.8666666666666707,1.2854024932252137e-104,0,0.0
-3.8333333333333375,7.808036058710025e-103,0,0.0
-3.8000000000000043,4.577231742702144e-101,0,0.0
-3.766666666666671,2.5895387264789297e-99,0,0.0
-3.733333333333338,1.4138402390493386e-97,0,0.0
-3.7000000000000046,7.449663975599101e-96,0,0.0
-3.6666666666666714,3.78818734019063e-94,0,0.0
