x,u,time_step,t
-5.0,1.9151695967140057e-174,0,0.0
-4.95,5.485185441411177e-171,0,0.0
-4.9,1.4502131273426031e-167,0,0.0
-4.8500000000000005,3.539393026569407e-164,0,0.0
-4.800000000000001,7.974109428607447e-161,0,0.0
-4.750000000000001,1.6584104776809567e-157,0,0.0
-4.700000000000001,3.1838919149073134e-154,0,0.0
-4.650000000000001,5.6426230777592994e-151,0,0.0
-4.600000000000001,9.231243499549699e-148,0,0.0
-4.550000000000002,1.3941060578871172e-144,0,0.0
-4.500000000000002,1.9435148500487404e-141,0,0.0
-4.450000000000002,2.501130508792719e-138,0,0.0
-4.400000000000002,2.971264305128334e-135,0,0.0
-4.350000000000002,3.2583869594584385e-132,0,0.0
-4.3000000000000025,3.2985302689916586e-129,0,0.0
-4.250000000000003,3.082440696948047e-126,0,0.0
-4.200000000000003,2.6590434112051945e-123,0,0.0
-4.150000000000003,2.1174470880226795e-120,0,0.0
-4.100000000000003,1.5565251678798429e-117,0,0.0
-4.050000000000003,1.0562243351600895e-114,0,0.0
-4.0000000000000036,6.616261056706476e-112,0,0.0
-3.9500000000000037,3.82582884899017e-109,0,0.0
-3.900000000000004,2.042184069327692e-106,0,0.0
-3.850000000000004,1.0062842418971326e-103,0,0.0
-3.8000000000000043,4.577231742702144e-101,0,0.0
-3.7500000000000044,1.9219477278228112e-98,0,0.0
-3.7000000000000046,7.449663975599101e-96,0,0.0
-3.650000000000005,2.665558618094858e-93,0,0.0
-3.600000000000005,8.804328384700879e-91,0,0.0
-3.550000000000005,2.684483067824542e-88,0,0.0
-3.5000000000000053,7.55581901970745e-86,0,0.0
-3.4500000000000055,1.9631743284432922e-83,0,0.0
-3.4000000000000057,4.708608986787835e-81,0,0.0
-3.350000000000006,1.0425162410714995e-78,0,0.0
-3.300000000000006,2.130735163909085e-76,0,0.0
-3.250000000000006,4.020060215740727e-74,0,0.0
-3.2000000000000064,7.001515989742455e-72,0,0.0
-3.1500000000000066,1.1256621233198739e-69,0,0.0
-3.1000000000000068,1.6706307180401664e-67,0,0.0
-3.050000000000007,2.2888077404108702e-65,0,0.0
-3.000000000000007,2.894640311646326e-63,0,0.0
-2.9500000000000073,3.3793746332768795e-61,0,0.0
-2.9000000000000075,3.641954494742017e-59,0,0.0
-2.8500000000000076,3.6231735050847233e-57,0,0.0
-2.800000000000008,3.327363054180685e-55,0,0.0
-2.750000000000008,2.8207700884581313e-53,0,0.0
-2.700000000000008,2.2074538398908312e-51,0,0.0
-2.6500000000000083,1.5946743668957377e-49,0,0.0
-2.6000000000000085,1.0634298273328718e-47,0,0.0
-2.5500000000000087,6.5463934372003005e-46,0,0.0
-2.500000000000009,3.7200759760181926e-44,0,0.0
-2.450000000000009,1.951452380293979e-42,0,0.0
-2.4000000000000092,9.449754976484503e-41,0,0.0
-2.3500000000000094,4.2241524062032014e-39,0,0.0
-2.3000000000000096,1.743070896644053e-37,0,0.0
-2.2500000000000098,6.639677199576016e-36,0,0.0
-2.20000000000001,2.334722783485647e-34,0,0.0
-2.15000000000001,7.578445267613153e-33,0,0.0
-2.1000000000000103,2.27081292202481e-31,0,0.0
-2.0500000000000105,6.281148147601647e-30,0,0.0
-2.0000000000000107,1.6038108905475438e-28,0,0.0
-1.9500000000000108,3.78027784477352e-27,0,0.0
-1.900000000000011,8.225280651601133e-26,0,0.0
-1.8500000000000112,1.6520917823131684e-24,0,0.0
-1.8000000000000114,3.0631908645754277e-23,0,0.0
-1.7500000000000115,5.242885663360074e-22,0,0.0
-1.7000000000000117,8.283677007677621e-21,0,0.0
-1.650000000000012,1.2081820198992154e-19,0,0.0
-1.600000000000012,1.6266646214522374e-18,0,0.0
-1.5500000000000123,2.0217158486941113e-17,0,0.0
-1.5000000000000124,2.319522830242185e-16,0,0.0
-1.4500000000000126,2.456595368790712e-15,0,0.0
-1.4000000000000128,2.401734781619587e-14,0,0.0
-1.350000000000013,2.167568882617745e-13,0,0.0
-1.3000000000000131,1.8058314375122292e-12,0,0.0
-1.2500000000000133,1.388794386495662e-11,0,0.0
-1.2000000000000135,9.859505575986403e-11,0,0.0
-1.1500000000000137,6.461431773102848e-10,0,0.0
-1.1000000000000139,3.9089384342629615e-09,0,0.0
-1.050000000000014,2.1829577951244465e-08,0,0.0
-1.0000000000000142,1.1253517471920794e-07,0,0.0
-0.9500000000000144,5.355347802790759e-07,0,0.0
-0.9000000000000146,2.3525752000087845e-06,0,0.0
-0.8500000000000147,9.540162873075417e-06,0,0.0
-0.8000000000000149,3.571284964162157e-05,0,0.0
-0.7500000000000151,0.00012340980408663484,0,0.0
-0.7000000000000153,0.00039366904065494363,0,0.0
-0.6500000000000155,0.0011592291739042186,0,0.0
-0.6000000000000156,0.003151111598443495,0,0.0
-0.5500000000000158,0.007907054051591244,0,0.0
-0.500000000000016,0.018315638888729495,0,0.0
-0.45000000000001616,0.039163895098977955,0,0.0
-0.40000000000001634,0.07730474044328357,0,0.0
-0.3500000000000165,0.14085842092101894,0,0.0
-0.3000000000000167,0.2369277586820838,0,0.0
-0.2500000000000169,0.36787944117139265,0,0.0
-0.20000000000001705,0.527292424042991,0,0.0
-0.15000000000001723,0.6976763260709734,0,0.0
-0.10000000000001741,0.8521437889661638,0,0.0
-0.050000000000017586,0.9607894391522962,0,0.0
-1.7763568394002505e-14,1.0,0,0.0
0.04999999999998206,0.9607894391523508,0,0.0
0.09999999999998188,0.8521437889662608,0,0.0
0.1499999999999817,0.6976763260710923,0,0.0
0.19999999999998153,0.5272924240431109,0,0.0
0.24999999999998135,0.36787944117149723,0,0.0
0.29999999999998117,0.2369277586821646,0,0.0
0.349999999999981,0.140858420921075,0,0.0
0.3999999999999808,0.07730474044331873,0,0.0
0.44999999999998064,0.03916389509899799,0,0.0
0.49999999999998046,0.018315638888739907,0,0.0
0.5499999999999803,0.007907054051596188,0,0.0
0.5999999999999801,0.003151111598445645,0,0.0
0.6499999999999799,0.0011592291739050754,0,0.0
0.6999999999999797,0.0003936690406552569,0,0.0
0.7499999999999796,0.00012340980408674006,0,0.0
0.7999999999999794,3.571284964165405e-05,0,0.0
0.8499999999999792,9.540162873084636e-06,0,0.0
0.899999999999979,2.352575200011192e-06,0,0.0
0.9499999999999789,5.355347802796543e-07,0,0.0
0.9999999999999787,1.1253517471933588e-07,0,0.0
1.0499999999999785,2.1829577951270524e-08,0,0.0
1.0999999999999783,3.90893843426785e-09,0,0.0
1.1499999999999782,6.461431773111296e-10,0,0.0
1.199999999999978,9.859505575999854e-11,0,0.0
1.2499999999999778,1.3887943864976356e-11,0,0.0
1.2999999999999776,1.8058314375148981e-12,0,0.0
1.3499999999999774,2.1675688826210716e-13,0,0.0
1.3999999999999773,2.4017347816234097e-14,0,0.0
1.449999999999977,2.4565953687947615e-15,0,0.0
1.499999999999977,2.3195228302461403e-16,0,0.0
1.5499999999999767,2.021715848697674e-17,0,0.0
1.5999999999999766,1.6266646214551962e-18,0,0.0
1.6499999999999764,1.2081820199014817e-19,0,0.0
1.6999999999999762,8.283677007693631e-21,0,0.0
1.749999999999976,5.242885663370505e-22,0,0.0
1.7999999999999758,3.063190864581696e-23,0,0.0
1.8499999999999757,1.652091782316643e-24,0,0.0
1.8999999999999755,8.225280651618899e-26,0,0.0
1.9499999999999753,3.780277844781901e-27,0,0.0
1.9999999999999751,1.6038108905511905e-28,0,0.0
2.049999999999975,6.2811481476162866e-30,0,0.0
2.0999999999999748,2.2708129220302316e-31,0,0.0
2.1499999999999746,7.578445267631677e-33,0,0.0
2.1999999999999744,2.3347227834914865e-34,0,0.0
2.2499999999999742,6.639677199593e-36,0,0.0
2.299999999999974,1.7430708966486108e-37,0,0.0
2.349999999999974,4.224152406214487e-39,0,0.0
2.3999999999999737,9.449754976510286e-41,0,0.0
2.4499999999999735,1.9514523802994142e-42,0,0.0
2.4999999999999734,3.7200759760287657e-44,0,0.0
2.549999999999973,6.546393437219279e-46,0,0.0
2.599999999999973,1.0634298273360152e-47,0,0.0
2.649999999999973,1.594674366900542e-49,0,0.0
2.6999999999999726,2.207453839897607e-51,0,0.0
2.7499999999999725,2.82077008846695e-53,0,0.0
2.7999999999999723,3.3273630541912765e-55,0,0.0
2.849999999999972,3.6231735050964623e-57,0,0.0
2.899999999999972,3.6419544947540242e-59,0,0.0
2.9499999999999718,3.379374633288213e-61,0,0.0
2.9999999999999716,2.894640311656198e-63,0,0.0
3.0499999999999723,2.288807740418611e-65,0,0.0
3.0999999999999712,1.6706307180460543e-67,0,0.0
3.14999999999997,1.125662123324033e-69,0,0.0
3.199999999999971,7.001515989767927e-72,0,0.0
3.2499999999999716,4.0200602157552376e-74,0,0.0
3.2999999999999705,2.130735163917079e-76,0,0.0
3.3499999999999694,1.0425162410755588e-78,0,0.0
3.39999999999997,4.708608986806036e-81,0,0.0
3.449999999999971,1.963174328450769e-83,0,0.0
3.49999999999997,7.555819019737515e-86,0,0.0
3.5499999999999687,2.6844830678356053e-88,0,0.0
3.5999999999999694,8.804328384736913e-91,0,0.0
3.64999999999997,2.665558618105692e-93,0,0.0
3.699999999999969,7.449663975630438e-96,0,0.0
3.749999999999968,1.9219477278312234e-98,0,0.0
3.7999999999999687,4.577231742721918e-101,0,0.0
3.8499999999999694,1.0062842419014227e-103,0,0.0
3.8999999999999684,2.0421840693367465e-106,0,0.0
3.9499999999999673,3.825828849007785e-109,0,0.0
3.999999999999968,6.616261056736564e-112,0,0.0
4.049999999999969,1.0562243351648326e-114,0,0.0
4.099999999999968,1.556525167887098e-117,0,0.0
4.149999999999967,2.1174470880329104e-120,0,0.0
4.199999999999967,2.6590434112178913e-123,0,0.0
4.249999999999968,3.082440696962415e-126,0,0.0
4.299999999999967,3.2985302690077835e-129,0,0.0
4.349999999999966,3.258386959474923e-132,0,0.0
4.399999999999967,2.9712643051431966e-135,0,0.0
4.449999999999967,2.501130508804946e-138,0,0.0
4.499999999999966,1.9435148500586833e-141,0,0.0
4.549999999999965,1.394106057894487e-144,0,0.0
4.599999999999966,9.231243499597974e-148,0,0.0
4.649999999999967,5.6426230777884874e-151,0,0.0
4.6999999999999655,3.1838919149243253e-154,0,0.0
4.7499999999999645,1.6584104776901007e-157,0,0.0
4.799999999999965,7.974109428650962e-161,0,0.0
4.849999999999966,3.5393930265883194e-164,0,0.0
4.899999999999965,1.4502131273506818e-167,0,0.0
4.949999999999964,5.485185441442669e-171,0,0.0
4.9999999999999645,1.9151695967248922e-174,0,0.0
-5.0,1.915169596719449e-174,1,0.04000000000000001
-4.95,7.251066594297815e-168,1,0.04000000000000001
-4.9,1.7696967875439758e-164,1,0.04000000000000001
-4.8500000000000005,3.987055439410287e-161,1,0.04000000000000001
-4.800000000000001,8.292054158101297e-158,1,0.04000000000000001
-4.750000000000001,1.591946356159128e-154,1,0.04000000000000001
-4.700000000000001,2.8213123680848887e-151,1,0.04000000000000001
-4.650000000000001,4.615623341720807e-148,1,0.04000000000000001
-4.600000000000001,6.970533110747125e-145,1,0.04000000000000001
-4.550000000000002,9.717578865865452e-142,1,0.04000000000000001
-4.500000000000002,1.2505659514493885e-138,1,0.04000000000000001
-4.450000000000002,1.4856331243215918e-135,1,0.04000000000000001
-4.400000000000002,1.6291947302944735e-132,1,0.04000000000000001
-4.350000000000002,1.649266620127982e-129,1,0.04000000000000001
-4.3000000000000025,1.5412219776675032e-126,1,0.04000000000000001
-4.250000000000003,1.3295233548677317e-123,1,0.04000000000000001
-4.200000000000003,1.0587250852316883e-120,1,0.04000000000000001
-4.150000000000003,7.78263913461627e-118,1,0.04000000000000001
-4.100000000000003,5.281132263035888e-115,1,0.04000000000000001
-4.050000000000003,3.3081383109790776e-112,1,0.04000000000000001
-4.0000000000000036,1.9129197056167606e-109,1,0.04000000000000001
-3.9500000000000037,1.0210953427943743e-106,1,0.04000000000000001
-3.900000000000004,5.0314403386299085e-104,1,0.04000000000000001
-3.850000000000004,2.2886260822714187e-101,1,0.04000000000000001
-3.8000000000000043,9.60978895332615e-99,1,0.04000000000000001
-3.7500000000000044,3.724854873958264e-96,1,0.04000000000000001
-3.7000000000000046,1.3327889187860683e-93,1,0.04000000000000001
-3.650000000000005,4.4022014406703177e-91,1,0.04000000000000001
-3.600000000000005,1.3422548617053616e-88,1,0.04000000000000001
-3.550000000000005,3.7779535314956486e-86,1,0.04000000000000001
-3.5000000000000053,9.816005866369852e-84,1,0.04000000000000001
-3.4500000000000055,2.354342272489016e-81,1,0.04000000000000001
-3.4000000000000057,5.2126793640739197e-79,1,0.04000000000000001
-3.350000000000006,1.0653911249994764e-76,1,0.04000000000000001
-3.300000000000006,2.010082233682417e-74,1,0.04000000000000001
-3.250000000000006,3.500864531629423e-72,1,0.04000000000000001
-3.2000000000000064,5.628511619610157e-70,1,0.04000000000000001
-3.1500000000000066,8.353503666000319e-68,1,0.04000000000000001
-3.1000000000000068,1.1444601533116012e-65,1,0.04000000000000001
-3.050000000000007,1.4474036873590648e-63,1,0.04000000000000001
-3.000000000000007,1.6898017570254603e-61,1,0.04000000000000001
-2.9500000000000073,1.8211219793865908e-59,1,0.04000000000000001
-2.9000000000000075,1.8117557212740255e-57,1,0.04000000000000001
-2.8500000000000076,1.6638636248150795e-55,1,0.04000000000000001
-2.800000000000008,1.4105662029043198e-53,1,0.04000000000000001
-2.750000000000008,1.1038932880981246e-51,1,0.04000000000000001
-2.700000000000008,7.974782219522917e-50,1,0.04000000000000001
-2.6500000000000083,5.318252863584304e-48,1,0.04000000000000001
-2.6000000000000085,3.2739940557835983e-46,1,0.04000000000000001
