x,u,time_step,t,u_pred,abs_error,MSE_contr
-5.0,1.9151695967140055e-174,0,0.0,-0.05825378,0.058253780007362366,0.0033935028851461713
-4.95,5.485185441411177e-171,0,0.0,-0.060529396,0.06052939593791962,0.00366380777260944
-4.9,1.4502131273426033e-167,0,0.0,-0.06291236,0.06291235983371735,0.003957965019847132
-4.8500000000000005,3.539393026569407e-164,0,0.0,-0.06541012,0.06541012227535248,0.0042784840960765624
-4.800000000000001,7.974109428607447e-161,0,0.0,-0.06802969,0.06802968680858612,0.004628038287274316
-4.750000000000001,1.6584104776809567e-157,0,0.0,-0.070779964,0.0707799643278122,0.005009803350246367
-4.700000000000001,3.1838919149073134e-154,0,0.0,-0.073669925,0.0736699253320694,0.00542725789843268
-4.650000000000001,5.642623077759299e-151,0,0.0,-0.07670964,0.07670964300632477,0.00588436933015779
-4.600000000000001,9.2312434995497e-148,0,0.0,-0.07991098,0.07991097867488861,0.006385764512778502
-4.550000000000002,1.3941060578871172e-144,0,0.0,-0.08328666,0.08328665792942047,0.006936667389052298
-4.500000000000002,1.9435148500487404e-141,0,0.0,-0.08685131,0.08685131371021271,0.007543150693189782
-4.450000000000002,2.501130508792719e-138,0,0.0,-0.09062128,0.09062127768993378,0.00821221597015609
-4.400000000000002,2.971264305128334e-135,0,0.0,-0.09461571,0.09461571276187897,0.008952133101438386
-4.350000000000002,3.2583869594584385e-132,0,0.0,-0.09885599,0.09885598719120026,0.00977250620354675
-4.3000000000000025,3.2985302689916586e-129,0,0.0,-0.103367224,0.10336722433567047,0.010684783066860826
-4.250000000000003,3.082440696948047e-126,0,0.0,-0.10817905,0.10817904770374298,0.0117027063620887
-4.200000000000003,2.6590434112051942e-123,0,0.0,-0.11332531,0.11332531273365021,0.012842626506179622
-4.150000000000003,2.1174470880226795e-120,0,0.0,-0.11884631,0.11884631216526031,0.014124445915282502
-4.100000000000003,1.5565251678798427e-117,0,0.0,-0.124790326,0.12479032576084137,0.01557262540349691
-4.050000000000003,1.0562243351600895e-114,0,0.0,-0.1312146,0.13121460378170013,0.017217272245588555
-4.000000000000004,6.616261056706476e-112,0,0.0,-0.13818829,0.13818828761577606,0.019096002834180448
-3.950000000000004,3.8258288489901703e-109,0,0.0,-0.14579578,0.1457957774400711,0.021256408719354747
-3.900000000000004,2.042184069327692e-106,0,0.0,-0.15413953,0.15413953363895416,0.023758995830434282
-3.850000000000004,1.0062842418971326e-103,0,0.0,-0.16334625,0.16334624588489532,0.026681996044688683
-3.800000000000004,4.577231742702144e-101,0,0.0,-0.17357244,0.17357243597507477,0.03012739053032143
-3.750000000000005,1.9219477278228112e-98,0,0.0,-0.18501295,0.18501295149326324,0.03422979222024858
-3.7000000000000046,7.449663975599101e-96,0,0.0,-0.1979117,0.19791169464588165,0.0391690388776047
-3.650000000000005,2.6655586180948578e-93,0,0.0,-0.21257593,0.21257592737674713,0.04518852490008407
-3.600000000000005,8.804328384700878e-91,0,0.0,-0.22939248,0.22939248383045197,0.052620911637904166
-3.550000000000005,2.684483067824542e-88,0,0.0,-0.24884962,0.24884961545467377,0.06192613111193901
-3.5000000000000053,7.55581901970745e-86,0,0.0,-0.27156347,0.27156347036361694,0.07374671843593106
-3.450000000000005,1.9631743284432922e-83,0,0.0,-0.29830676,0.29830676317214966,0.08898692495424498
-3.4000000000000057,4.708608986787834e-81,0,0.0,-0.33003998,0.33003997802734375,0.10892638709628955
-3.350000000000006,1.0425162410714996e-78,0,0.0,-0.36793745,0.36793744564056396,0.13537796390450296
-3.300000000000006,2.1307351639090848e-76,0,0.0,-0.41339374,0.4133937358856201,0.17089438086946984
-3.250000000000006,4.020060215740727e-74,0,0.0,-0.4679941,0.4679940938949585,0.21901847192056323
-3.2000000000000064,7.001515989742455e-72,0,0.0,-0.53341055,0.5334105491638184,0.2845268139592463
-3.1500000000000066,1.1256621233198739e-69,0,0.0,-0.61118585,0.6111858487129211,0.37354814166693373
-3.1000000000000068,1.6706307180401664e-67,0,0.0,-0.7023747,0.7023746967315674,0.49333021460876125
-3.050000000000007,2.2888077404108707e-65,0,0.0,-0.80704963,0.8070496320724487,0.6513291086282749
-3.000000000000007,2.894640311646326e-63,0,0.0,-0.9237969,0.9237968921661377,0.8534006979758146
-2.9500000000000077,3.3793746332768795e-61,0,0.0,-1.0494226,1.0494226217269897,1.1012878389923486
-2.9000000000000075,3.641954494742017e-59,0,0.0,-1.1791478,1.1791478395462036,1.3903896275064795
-2.850000000000008,3.6231735050847233e-57,0,0.0,-1.3074012,1.307401180267334,1.709297846164418
-2.800000000000008,3.327363054180685e-55,0,0.0,-1.4289398,1.4289398193359375,2.0418690072838217
-2.750000000000008,2.8207700884581313e-53,0,0.0,-1.539786,1.5397859811782837,2.37094086783317
-2.700000000000008,2.2074538398908312e-51,0,0.0,-1.6375035,1.6375035047531128,2.6814177280787277
-2.6500000000000083,1.5946743668957377e-49,0,0.0,-1.7207885,1.7207884788513184,2.961112988947434
-2.6000000000000085,1.0634298273328717e-47,0,0.0,-1.7887002,1.7887002229690552,3.1994484876495477
-2.5500000000000087,6.5463934372003005e-46,0,0.0,-1.8399554,1.839955449104309,3.3854360546886397
-2.500000000000009,3.720075976018193e-44,0,0.0,-1.8725744,1.8725744485855103,3.506535065495328
-2.450000000000009,1.951452380293979e-42,0,0.0,-1.8839501,1.883950114250183,3.549268032983278
-2.400000000000009,9.449754976484503e-41,0,0.0,-1.8712889,1.8712888956069946,3.5017221308220456
-2.3500000000000094,4.2241524062032014e-39,0,0.0,-1.8322998,1.832299828529358,3.3573226616287144
-2.3000000000000096,1.743070896644053e-37,0,0.0,-1.7660073,1.7660073041915894,3.118781798458045
-2.2500000000000098,6.639677199576016e-36,0,0.0,-1.6735287,1.6735286712646484,2.8006982135448197
-2.20000000000001,2.334722783485647e-34,0,0.0,-1.5585816,1.5585815906524658,2.4291765747207705
-2.15000000000001,7.578445267613153e-33,0,0.0,-1.4274148,1.4274147748947144,2.037512939587728
-2.1000000000000103,2.2708129220248104e-31,0,0.0,-1.2879645,1.2879644632339478,1.6588524585535112
-2.0500000000000105,6.281148147601647e-30,0,0.0,-1.148415,1.148414969444275,1.3188569420436949
-2.0000000000000107,1.6038108905475436e-28,0,0.0,-1.0157279,1.0157278776168823,1.0317031213680963
