x,u,time_step,t,u_pred,abs_error,MSE_contr
-5.0,1.9151695967140055e-174,0,0.0,-0.0025362151,0.0025362151209264994,6.432387139616218e-06
-4.95,5.485185441411177e-171,0,0.0,-0.0025602954,0.002560295397415757,6.55511252202831e-06
-4.9,1.4502131273426033e-167,0,0.0,-0.0025872367,0.0025872366968542337,6.693793725549206e-06
-4.8500000000000005,3.539393026569407e-164,0,0.0,-0.0026173966,0.0026173966471105814,6.850765208305713e-06
-4.800000000000001,7.974109428607447e-161,0,0.0,-0.0026510137,0.0026510136667639017,7.027873461368987e-06
-4.750000000000001,1.6584104776809567e-157,0,0.0,-0.0026886838,0.0026886838022619486,7.229020588545769e-06
-4.700000000000001,3.1838919149073134e-154,0,0.0,-0.00273148,0.002731479937210679,7.460982647384455e-06
-4.650000000000001,5.642623077759299e-151,0,0.0,-0.0027790444,0.0027790444437414408,7.723088020290174e-06
-4.600000000000001,9.2312434995497e-148,0,0.0,-0.0028332847,0.0028332846704870462,8.02750202401689e-06
-4.550000000000002,1.3941060578871172e-144,0,0.0,-0.0028945582,0.002894558245316148,8.378467435527696e-06
-4.500000000000002,1.9435148500487404e-141,0,0.0,-0.002964415,0.0029644148889929056,8.787755634082821e-06
-4.450000000000002,2.501130508792719e-138,0,0.0,-0.0030439275,0.0030439274851232767,9.265494534688916e-06
-4.400000000000002,2.971264305128334e-135,0,0.0,-0.0031348842,0.003134884173050523,9.82749877844266e-06
-4.350000000000002,3.2583869594584385e-132,0,0.0,-0.0032394307,0.003239430719986558,1.049391138959263e-05
-4.3000000000000025,3.2985302689916586e-129,0,0.0,-0.0033599513,0.003359951311722398,1.1289272817145062e-05
-4.250000000000003,3.082440696948047e-126,0,0.0,-0.0034988301,0.003498830134049058,1.2241812306929749e-05
-4.200000000000003,2.6590434112051942e-123,0,0.0,-0.0036605971,0.003660597139969468,1.339997142115265e-05
-4.150000000000003,2.1174470880226795e-120,0,0.0,-0.0038487094,0.003848709398880601,1.4812564037031877e-05
-4.100000000000003,1.5565251678798427e-117,0,0.0,-0.0040687695,0.0040687695145606995,1.655488536261851e-05
-4.050000000000003,1.0562243351600895e-114,0,0.0,-0.0043273345,0.004327334463596344,1.8725823559828658e-05
-4.000000000000004,6.616261056706476e-112,0,0.0,-0.004631199,0.004631198942661285,2.1448003646507008e-05
-3.950000000000004,3.8258288489901703e-109,0,0.0,-0.0049904957,0.00499049574136734,2.4905047744605557e-05
-3.900000000000004,2.042184069327692e-106,0,0.0,-0.0054165497,0.005416549742221832,2.9339011109963398e-05
-3.850000000000004,1.0062842418971326e-103,0,0.0,-0.0059234276,0.005923427641391754,3.508699502280388e-05
-3.800000000000004,4.577231742702144e-101,0,0.0,-0.0065275803,0.0065275803208351135,4.2609304844953844e-05
-3.750000000000005,1.9219477278228112e-98,0,0.0,-0.0072499886,0.007249988615512848,5.25623349250659e-05
-3.7000000000000046,7.449663975599101e-96,0,0.0,-0.008115567,0.00811556726694107,6.586243206424536e-05
-3.650000000000005,2.6655586180948578e-93,0,0.0,-0.00915543,0.009155429899692535,8.382189664818407e-05
-3.600000000000005,8.804328384700878e-91,0,0.0,-0.010407604,0.010407604277133942,0.00010831822678941672
-3.550000000000005,2.684483067824542e-88,0,0.0,-0.011922158,0.011922158300876617,0.00014213785855116123
-3.5000000000000053,7.55581901970745e-86,0,0.0,-0.01377026,0.01377025991678238,0.00018962005817574346
-3.450000000000005,1.9631743284432922e-83,0,0.0,-0.01606933,0.016069330275058746,0.0002582233754889196
-3.4000000000000057,4.708608986787834e-81,0,0.0,-0.019047655,0.019047655165195465,0.0003628131672921975
-3.350000000000006,1.0425162410714996e-78,0,0.0,-0.023231186,0.023231185972690582,0.0005396880016977357
-3.300000000000006,2.1307351639090848e-76,0,0.0,-0.029951133,0.029951132833957672,0.0008970703580373773
-3.250000000000006,4.020060215740727e-74,0,0.0,-0.042753376,0.04275337606668472,0.00182785116509937
-3.2000000000000064,7.001515989742455e-72,0,0.0,-0.07118408,0.07118407636880875,0.005067172728480396
-3.1500000000000066,1.1256621233198739e-69,0,0.0,-0.1400296,0.14002959430217743,0.0196082872804324
-3.1000000000000068,1.6706307180401664e-67,0,0.0,-0.30573586,0.30573585629463196,0.09347441382421184
-3.050000000000007,2.2888077404108707e-65,0,0.0,-0.6546043,0.6546043157577515,0.428506810208674
-3.000000000000007,2.894640311646326e-63,0,0.0,-1.1942207,1.1942206621170044,1.4261629898271764
-2.9500000000000077,3.3793746332768795e-61,0,0.0,-1.7270578,1.7270578145980835,2.982728694964308
-2.9000000000000075,3.641954494742017e-59,0,0.0,-2.076157,2.0761570930480957,4.310428275013919
-2.850000000000008,3.6231735050847233e-57,0,0.0,-2.268605,2.2686049938201904,5.146568617985906
-2.800000000000008,3.327363054180685e-55,0,0.0,-2.3864448,2.3864448070526123,5.69511881710838
-2.750000000000008,2.8207700884581313e-53,0,0.0,-2.4699678,2.469967842102051,6.100741141018261
-2.700000000000008,2.2074538398908312e-51,0,0.0,-2.5239253,2.523925304412842,6.370198942255456
-2.6500000000000083,1.5946743668957377e-49,0,0.0,-2.5429149,2.542914867401123,6.466416022849671
-2.6000000000000085,1.0634298273328717e-47,0,0.0,-2.5254393,2.5254392623901367,6.377843468021638
-2.5500000000000087,6.5463934372003005e-46,0,0.0,-2.4749973,2.4749972820281982,6.125611546046969
-2.500000000000009,3.720075976018193e-44,0,0.0,-2.39708,2.3970799446105957,5.745992260854337
-2.450000000000009,1.951452380293979e-42,0,0.0,-2.2974184,2.2974183559417725,5.278131102218197
-2.400000000000009,9.449754976484503e-41,0,0.0,-2.1815834,2.1815834045410156,4.759306150968769
-2.3500000000000094,4.2241524062032014e-39,0,0.0,-2.0548892,2.05488920211792,4.2225696329808216
-2.3000000000000096,1.743070896644053e-37,0,0.0,-1.9221457,1.9221457242965698,3.694644185431585
-2.2500000000000098,6.639677199576016e-36,0,0.0,-1.7872688,1.7872687578201294,3.1943296126799083
-2.20000000000001,2.334722783485647e-34,0,0.0,-1.6529604,1.6529604196548462,2.7322781489455252
-2.15000000000001,7.578445267613153e-33,0,0.0,-1.5205758,1.520575761795044,2.3121506473585782
-2.1000000000000103,2.2708129220248104e-31,0,0.0,-1.3902183,1.3902182579040527,1.9327068046097793
-2.0500000000000105,6.281148147601647e-30,0,0.0,-1.2610192,1.261019229888916,1.5901694981496348
-2.0000000000000107,1.6038108905475436e-28,0,0.0,-1.1315238,1.131523847579956,1.2803462176421476
-1.9500000000000108,3.78027784477352e-27,0,0.0,-1.000134,1.000133991241455,1.000268000436563
-1.900000000000011,8.225280651601133e-26,0,0.0,-0.8655605,0.8655604720115662,0.7491949307088852
-1.8500000000000112,1.6520917823131684e-24,0,0.0,-0.7272634,0.7272633910179138,0.528912039914875
-1.8000000000000114,3.063190864575428e-23,0,0.0,-0.5858449,0.585844874382019,0.3432142168396837
-1.7500000000000115,5.242885663360074e-22,0,0.0,-0.44334367,0.4433436691761017,0.1965536089985287
-1.7000000000000115,8.28367700767762e-21,0,0.0,-0.30337885,0.3033788502216339,0.09203872676180058
-1.650000000000012,1.2081820198992154e-19,0,0.0,-0.17110388,0.17110387980937958,0.029276537685822612
-1.600000000000012,1.6266646214522374e-18,0,0.0,-0.053011097,0.05301109701395035,0.0028101764066224555
-1.5500000000000125,2.0217158486941116e-17,0,0.0,0.043302618,0.04330261796712873,0.0018751167228071002
-1.5000000000000124,2.319522830242185e-16,0,0.0,0.10925373,0.10925372689962363,0.011936376841457545
-1.4500000000000126,2.456595368790712e-15,0,0.0,0.13521953,0.13521952927112332,0.018284321096304176
-1.4000000000000128,2.4017347816195872e-14,0,0.0,0.11052283,0.11052282899615747,0.012215295729313866
-1.350000000000013,2.167568882617745e-13,0,0.0,0.024073921,0.02407392114379188,0.0005795536792375097
-1.3000000000000131,1.8058314375122288e-12,0,0.0,-0.13336866,0.1333686560410438,0.017787198414194252
-1.250000000000013,1.388794386495662e-11,0,0.0,-0.36469904,0.3646990358968378,0.13300538678408297
-1.2000000000000135,9.859505575986403e-11,0,0.0,-0.6608333,0.6608332992585987,0.43670064940900466
-1.1500000000000137,6.461431773102847e-10,0,0.0,-0.9978222,0.9978222257399847,0.995649194180697
-1.100000000000014,3.9089384342629615e-09,0,0.0,-1.3410681,1.3410681525219146,1.7984637897085411
-1.050000000000014,2.1829577951244465e-08,0,0.0,-1.6561481,1.656148097887012,2.742826522134768
-1.0000000000000142,1.1253517471920795e-07,0,0.0,-1.9193951,1.9193952016846498,3.6840779402500576
-0.9500000000000144,5.355347802790759e-07,0,0.0,-2.1217477,2.1217482676972557,4.501815711476305
-0.9000000000000146,2.3525752000087845e-06,0,0.0,-2.2656932,2.265695540288823,5.1333762812846615
